Orthogroup	Cyanothece_ATCC51142	Gloeobacter_PCC7421	Microcystis_PCC7806	Prochlorococcus_CCMP1375	Synechococcus_PCC7942	Synechocystis_PCC6803	Thermosynechococcus_BP1	Trichodesmium_IMS101
OG0000413	NC_008785.1_20	NC_005125.1_3825	NC_009662.1_1610	NC_008740.1_2527	NC_017382.1_523	NC_000911.1_2556	NC_010617.1_1041	NC_008048.1_264
OG0000414	NC_008785.1_21	NC_005125.1_3084	NC_009662.1_1617	NC_008740.1_2525	NC_017382.1_789	NC_000911.1_1612	NC_010617.1_1705	NC_008048.1_265
OG0000416	NC_008785.1_57	NC_005125.1_2798	NC_009662.1_742	NC_008740.1_2883	NC_017382.1_769	NC_000911.1_1485	NC_010617.1_1512	NC_008048.1_1347
OG0000417	NC_008785.1_76	NC_005125.1_926	NC_009662.1_447	NC_008740.1_2425	NC_017382.1_602	NC_000911.1_2756	NC_010617.1_1686	NC_008048.1_2966
OG0000418	NC_008785.1_77	NC_005125.1_412	NC_009662.1_395	NC_008740.1_2426	NC_017382.1_1394	NC_000911.1_768	NC_010617.1_1683	NC_008048.1_1627
OG0000419	NC_008785.1_78	NC_005125.1_553	NC_009662.1_396	NC_008740.1_2427	NC_017382.1_1395	NC_000911.1_2624	NC_010617.1_1682	NC_008048.1_1628
OG0000420	NC_008785.1_81	NC_005125.1_869	NC_009662.1_857	NC_008740.1_3663	NC_017382.1_1373	NC_000911.1_2690	NC_010617.1_1014	NC_008048.1_2211
OG0000421	NC_008785.1_82	NC_005125.1_2992	NC_009662.1_1035	NC_008740.1_3837	NC_017382.1_536	NC_000911.1_2234	NC_010617.1_1012	NC_008048.1_1056
OG0000422	NC_008785.1_83	NC_005125.1_262	NC_009662.1_1094	NC_008740.1_3836	NC_017382.1_581	NC_000911.1_1480	NC_010617.1_1027	NC_008048.1_2755
OG0000426	NC_008785.1_164	NC_005125.1_3479	NC_009662.1_1325	NC_008740.1_2418	NC_017382.1_532	NC_000911.1_1947	NC_010617.1_423	NC_008048.1_3201
OG0000427	NC_008785.1_174	NC_005125.1_489	NC_009662.1_174	NC_008740.1_540	NC_017382.1_554	NC_000911.1_2607	NC_010617.1_1043	NC_008048.1_23
