Gene_Family,dN/dS,Selection_Type,P_value
psaA,0.03762796748074257,Positive,0.20520342982175266
psaB,0.9736107396352296,Neutral,0.27486042110992137
psbA,0.3901616776682526,Purifying,0.07814418645813759
psbB,0.5079906708321451,Positive,0.7799954367807255
rbcL,3.387505284325953,Neutral,0.24555960236119478
rbcS,1.5620041179601674,Purifying,0.7628102398963065
atpA,0.2681281539906055,Positive,0.024399240281991696
atpB,0.3401054423655857,Neutral,0.6447353654768336
petA,0.030873018501390057,Purifying,0.12048309670873081
petB,0.3350718802196281,Positive,0.4219484443046151
rpoB,0.16442714990711552,Neutral,0.3097633984126932
rps4,0.7071471146600563,Purifying,0.780379200579972
rpl4,0.22498926635694408,Positive,0.7931221382199595
nifH,0.006884414280553303,Neutral,0.8518794987160422
nifD,0.6211998290170178,Purifying,0.015700671074837413
